Recording	Participant	Timeline	TOI	Interval	Media	AOI	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	ingredients		8413	351	87	800	24	827	87	preparation_text	preparation_text	2,83131	8413	351	87	800	24	827	87	2,83131	9023	4512	87	8937	2	827	87	9090	4545	133	8957	2	781	133	0			0			20	781	914	797,24													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	picture		2083	160	60	280	13	651	130	preparation_text	preparation_text	2,98021	2083	160	60	280	13	651	130	2,98021	2390	1195	130	2260	2	651	130	2473	1237	190	2283	2	591	190	0			0			11	591	781	327,72													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	preparation_text		18623	270	73	467	69	13681	213	preparation_text	preparation_text	2,86902	18457	271	73	467	68	13681	213	2,86805	20603	10301	820	19783	2	13681	820	20683	10341	850	19833	2	13651	850	0			0			65	13651	14501	169,88													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	preparation_time		1133	227	170	310	5	12421	220	preparation_text	preparation_text	2,92329	1133	227	170	310	5	12421	220	2,92329	1230	1230	1230	1230	1	12421	1230	1263	1263	1263	1263	1	12387	1263	0			0			4	12387	13651	185,98													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	rating		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	calories		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	duration		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	easiness		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	ingredients		6793	243	63	583	28	25470	213	preparation_text	preparation_text	2,86744	6793	243	63	583	28	25470	213	2,86744	7927	7927	7927	7927	1	25470	7927	7990	7990	7990	7990	1	25407	7990	0			0			24	25407	33397	341,32													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	picture		910	182	127	333	5	750	170	preparation_text	preparation_text	3,08361	910	182	127	333	5	750	170	3,08361	1030	515	127	903	2	750	903	1133	567	170	963	2	690	963	0			0			3	690	1654	334,12													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	preparation_text		21870	246	67	567	89	2500	363	preparation_text	preparation_text	2,9269	21287	245	67	567	87	2500	363	2,9255	24450	12225	1543	22907	2	2500	22907	24526	12263	1603	22923	2	2484	22923	0			0			85	2484	25407	61,4													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	preparation_time		147	147	147	147	1	2337	147	preparation_text	preparation_text	3,05172	147	147	147	147	1	2337	147	3,05172	147	147	147	147	1	2337	147	167	167	167	167	1	2317	167	0			0			0	2317	2484	68,51													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	semmeln	1	semmel	rating		233	233	233	233	1	1680	233	preparation_text	preparation_text	3,1146	233	233	233	233	1	1680	233	3,1146	233	233	233	233	1	1680	233	260	260	260	260	1	1654	260	0			0			0	1654	1914	151,72													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	spaghettis	1	spaghetti	calories		0				0			picture			0				0				0				0			0				0			0			0			0																
